iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"13,917,324,323.52"
Shares Outstanding,"128,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TGT","TARGET CORP","Equity","0.34","59.01","792,244.00","46,750,318.44","46,750,318.44","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.34","81.39","573,282.00","46,659,421.98","46,659,421.98","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.34","99.05","470,781.00","46,630,858.05","46,630,858.05","Materials","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.33","48.22","966,200.00","46,590,164.00","46,590,164.00","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC","Equity","0.33","62.75","727,115.00","45,626,466.25","45,626,466.25","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.31","189.20","226,399.00","42,834,690.80","42,834,690.80","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.31","51.85","819,539.00","42,493,097.15","42,493,097.15","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.30","115.97","359,904.00","41,738,066.88","41,738,066.88","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.30","59.77","696,154.00","41,609,124.58","41,609,124.58","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.30","114.13","364,190.00","41,565,004.70","41,565,004.70","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.30","56.08","734,330.00","41,181,226.40","41,181,226.40","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.29","447.09","91,700.00","40,998,153.00","40,998,153.00","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.29","72.85","562,153.00","40,952,846.05","40,952,846.05","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.29","48.42","844,051.00","40,868,949.42","40,868,949.42","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.29","64.21","632,150.00","40,590,351.50","40,590,351.50","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.28","96.74","402,047.00","38,894,026.78","38,894,026.78","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"CCL","CARNIVAL CORP","Equity","0.27","64.57","591,556.00","38,196,770.92","38,196,770.92","Consumer Discretionary","2523044","PA1436583006","New York Stock Exchange Inc."
"DLPH","DELPHI AUTOMOTIVE PLC","Equity","0.27","98.40","387,060.00","38,086,704.00","38,086,704.00","Consumer Discretionary","B783TY6","JE00B783TY65","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.27","76.93","494,006.00","38,003,881.58","38,003,881.58","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.27","37.95","990,952.00","37,606,628.40","37,606,628.40","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.27","34.03","1,092,147.00","37,165,762.41","37,165,762.41","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.27","86.40","427,721.00","36,955,094.40","36,955,094.40","Information Technology","2954699","US9581021055","NASDAQ"
"EIX","EDISON INTERNATIONAL","Equity","0.26","77.17","472,591.00","36,469,847.47","36,469,847.47","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","0.26","80.68","449,397.00","36,257,349.96","36,257,349.96","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.26","85.78","416,770.00","35,750,530.60","35,750,530.60","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.26","161.04","220,376.00","35,489,351.04","35,489,351.04","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.25","79.94","440,842.00","35,240,909.48","35,240,909.48","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.25","14.71","2,372,142.00","34,894,208.82","34,894,208.82","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.25","47.32","736,520.00","34,852,126.40","34,852,126.40","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"ADM","ARCHER DANIELS MIDLAND","Equity","0.25","42.51","815,978.00","34,687,224.78","34,687,224.78","Consumer Staples","2047317","US0394831020","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.24","56.82","598,909.00","34,030,009.38","34,030,009.38","Materials","2465254","US4601461035","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.24","46.25","733,788.00","33,937,695.00","33,937,695.00","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.24","38.46","880,741.00","33,873,298.86","33,873,298.86","Information Technology","2293819","US2786421030","NASDAQ"
"SYF","SYNCHRONY FINANCIAL","Equity","0.24","31.05","1,084,421.00","33,671,272.05","33,671,272.05","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.23","62.84","501,310.00","31,502,320.40","31,502,320.40","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"CAH","CARDINAL HEALTH INC","Equity","0.22","66.92","459,021.00","30,717,685.32","30,717,685.32","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"VFC","VF CORP","Equity","0.22","63.57","473,892.00","30,125,314.44","30,125,314.44","Consumer Discretionary","2928683","US9182041080","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.22","154.23","194,734.00","30,033,824.82","30,033,824.82","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"FITB","FIFTH THIRD BANCORP","Equity","0.21","27.98","1,068,628.00","29,900,211.44","29,900,211.44","Financials","2336747","US3167731005","NASDAQ"
"AAL","AMERICAN AIRLINES GROUP INC","Equity","0.21","47.49","628,709.00","29,857,390.41","29,857,390.41","Industrials","BCV7KT2","US02376R1023","NASDAQ"
"DE","DEERE","Equity","0.21","125.59","236,624.00","29,717,608.16","29,717,608.16","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
